date,ALLSKY_SFC_SW_DWN,T2M,RH2M,ALLSKY_KT,lat,lon
20240213,4.9754,24.59,86.16,0.51,7.2507895613811435,125.43742431906813
20240214,5.6275,24.94,85.13,0.57,7.2507895613811435,125.43742431906813
20240215,6.2825,24.33,81.65,0.64,7.2507895613811435,125.43742431906813
20240216,4.2307,24.22,84.66,0.43,7.2507895613811435,125.43742431906813
20240217,5.3678,25.28,86.14,0.54,7.2507895613811435,125.43742431906813
20240218,4.4287,25.36,86.74,0.45,7.2507895613811435,125.43742431906813
20240219,4.9778,24.45,84.98,0.5,7.2507895613811435,125.43742431906813
20240220,6.5136,25.2,84.38,0.66,7.2507895613811435,125.43742431906813
20240221,4.519,25.79,86.59,0.45,7.2507895613811435,125.43742431906813
20240222,3.769,25.12,92.13,0.38,7.2507895613811435,125.43742431906813
20240223,3.9101,26.57,85.44,0.39,7.2507895613811435,125.43742431906813
20240224,5.298,25.58,85.32,0.53,7.2507895613811435,125.43742431906813
20240225,5.4929,25.29,85.11,0.55,7.2507895613811435,125.43742431906813
20240226,5.3446,24.79,86.34,0.53,7.2507895613811435,125.43742431906813
20240227,4.0603,24.82,84.2,0.4,7.2507895613811435,125.43742431906813
20240228,3.0727,24.14,88.81,0.3,7.2507895613811435,125.43742431906813
20240229,3.6098,25.71,87.29,0.36,7.2507895613811435,125.43742431906813
20240301,4.1453,25.9,86.53,0.41,7.2507895613811435,125.43742431906813
20240302,5.118,25.32,82.83,0.5,7.2507895613811435,125.43742431906813
20240303,6.0552,24.52,82.11,0.6,7.2507895613811435,125.43742431906813
20240304,5.2814,25.09,84.43,0.52,7.2507895613811435,125.43742431906813
20240305,5.4768,26.37,83.5,0.54,7.2507895613811435,125.43742431906813
20240306,5.0717,26.45,82.39,0.5,7.2507895613811435,125.43742431906813
20240307,6.6626,25.2,82.47,0.65,7.2507895613811435,125.43742431906813
20240308,5.1614,24.81,82.14,0.5,7.2507895613811435,125.43742431906813
20240309,5.6261,24.42,82.73,0.55,7.2507895613811435,125.43742431906813
20240310,5.3544,24.43,83.95,0.52,7.2507895613811435,125.43742431906813
20240311,6.2772,25.37,81.09,0.61,7.2507895613811435,125.43742431906813
20240312,4.2761,25.97,86.49,0.41,7.2507895613811435,125.43742431906813
20240313,4.9714,25.12,83.48,0.48,7.2507895613811435,125.43742431906813
20240314,5.029,25.29,84.91,0.49,7.2507895613811435,125.43742431906813
20240315,6.1109,25.46,83.4,0.59,7.2507895613811435,125.43742431906813
20240316,6.139,25.9,82.81,0.59,7.2507895613811435,125.43742431906813
20240317,6.5021,25.43,82.8,0.63,7.2507895613811435,125.43742431906813
20240318,6.6434,24.85,82.8,0.64,7.2507895613811435,125.43742431906813
20240319,6.1164,25.55,82.23,0.59,7.2507895613811435,125.43742431906813
20240320,5.8298,26.02,80.88,0.56,7.2507895613811435,125.43742431906813
20240321,4.9018,25.71,82.37,0.47,7.2507895613811435,125.43742431906813
20240322,6.0094,25.58,82.77,0.58,7.2507895613811435,125.43742431906813
20240323,6.3674,25.61,82.51,0.61,7.2507895613811435,125.43742431906813
20240324,5.0014,25.73,82.94,0.48,7.2507895613811435,125.43742431906813
20240325,5.7338,26.96,85.16,0.55,7.2507895613811435,125.43742431906813
20240326,5.3513,27.82,80.98,0.51,7.2507895613811435,125.43742431906813
20240327,5.3695,27.27,80.77,0.51,7.2507895613811435,125.43742431906813
20240328,4.7983,26.71,85.43,0.46,7.2507895613811435,125.43742431906813
20240329,4.3577,26.64,85.19,0.42,7.2507895613811435,125.43742431906813
20240330,6.4584,26.37,82.95,0.62,7.2507895613811435,125.43742431906813
20240331,5.394,26.52,82.53,0.52,7.2507895613811435,125.43742431906813
20240401,6.2911,25.94,81.71,0.6,7.2507895613811435,125.43742431906813
20240402,5.915,26.24,80.47,0.56,7.2507895613811435,125.43742431906813
20240403,6.4906,26.0,81.67,0.62,7.2507895613811435,125.43742431906813
20240404,4.8516,26.37,85.77,0.46,7.2507895613811435,125.43742431906813
20240405,4.8602,26.67,83.52,0.46,7.2507895613811435,125.43742431906813
20240406,3.7366,26.07,84.57,0.36,7.2507895613811435,125.43742431906813
20240407,6.0593,25.57,82.85,0.58,7.2507895613811435,125.43742431906813
20240408,5.8723,24.86,81.97,0.56,7.2507895613811435,125.43742431906813
20240409,5.9959,26.48,83.63,0.57,7.2507895613811435,125.43742431906813
20240410,4.5149,26.35,83.15,0.43,7.2507895613811435,125.43742431906813
20240411,6.967,26.07,79.98,0.67,7.2507895613811435,125.43742431906813
20240412,6.5266,26.17,81.56,0.62,7.2507895613811435,125.43742431906813
20240413,6.1411,26.59,79.92,0.59,7.2507895613811435,125.43742431906813
20240414,6.2069,26.85,80.85,0.59,7.2507895613811435,125.43742431906813
20240415,5.3122,26.89,83.44,0.51,7.2507895613811435,125.43742431906813
20240416,4.6858,26.5,85.8,0.45,7.2507895613811435,125.43742431906813
20240417,5.7437,27.14,82.53,0.55,7.2507895613811435,125.43742431906813
20240418,6.7159,27.54,80.42,0.64,7.2507895613811435,125.43742431906813
20240419,6.1322,26.61,80.49,0.59,7.2507895613811435,125.43742431906813
20240420,5.8776,25.93,82.69,0.56,7.2507895613811435,125.43742431906813
20240421,2.3791,26.29,89.87,0.23,7.2507895613811435,125.43742431906813
20240422,6.1145,27.93,80.93,0.59,7.2507895613811435,125.43742431906813
20240423,5.5277,27.29,85.5,0.53,7.2507895613811435,125.43742431906813
20240424,5.3424,27.57,80.43,0.51,7.2507895613811435,125.43742431906813
20240425,6.9938,27.85,78.21,0.67,7.2507895613811435,125.43742431906813
20240426,5.0407,27.96,80.92,0.48,7.2507895613811435,125.43742431906813
20240427,5.2728,27.38,83.63,0.51,7.2507895613811435,125.43742431906813
20240428,5.969,27.48,81.76,0.57,7.2507895613811435,125.43742431906813
20240429,4.0699,26.1,92.37,0.39,7.2507895613811435,125.43742431906813
20240430,2.8942,27.04,88.46,0.28,7.2507895613811435,125.43742431906813
20240501,5.9719,28.22,79.94,0.58,7.2507895613811435,125.43742431906813
20240502,5.9203,27.71,80.55,0.57,7.2507895613811435,125.43742431906813
20240503,6.8844,26.26,81.51,0.67,7.2507895613811435,125.43742431906813
20240504,5.2025,26.65,84.98,0.5,7.2507895613811435,125.43742431906813
20240505,6.3521,27.43,79.5,0.62,7.2507895613811435,125.43742431906813
20240506,5.8807,27.37,83.22,0.57,7.2507895613811435,125.43742431906813
20240507,6.2237,26.2,80.65,0.6,7.2507895613811435,125.43742431906813
20240508,6.2045,27.61,79.21,0.6,7.2507895613811435,125.43742431906813
20240509,5.7545,28.0,79.49,0.56,7.2507895613811435,125.43742431906813
20240510,5.8118,27.73,80.78,0.57,7.2507895613811435,125.43742431906813
20240511,5.4598,27.66,81.89,0.53,7.2507895613811435,125.43742431906813
20240512,4.6637,27.09,85.83,0.45,7.2507895613811435,125.43742431906813
20240513,5.6623,27.62,83.76,0.55,7.2507895613811435,125.43742431906813
20240514,6.3547,27.83,78.25,0.62,7.2507895613811435,125.43742431906813
20240515,5.6146,27.96,79.56,0.55,7.2507895613811435,125.43742431906813
20240516,5.9114,27.8,77.16,0.58,7.2507895613811435,125.43742431906813
20240517,6.6082,27.72,78.03,0.65,7.2507895613811435,125.43742431906813
20240518,6.0718,28.95,73.47,0.59,7.2507895613811435,125.43742431906813
20240519,5.8903,29.41,74.56,0.58,7.2507895613811435,125.43742431906813
20240520,5.6758,28.83,75.36,0.56,7.2507895613811435,125.43742431906813
20240521,5.465,28.39,81.12,0.54,7.2507895613811435,125.43742431906813
20240522,6.1301,28.45,78.31,0.6,7.2507895613811435,125.43742431906813
20240523,6.3485,28.22,79.95,0.62,7.2507895613811435,125.43742431906813
20240524,4.315,28.03,81.47,0.43,7.2507895613811435,125.43742431906813
20240525,5.689,28.27,81.29,0.56,7.2507895613811435,125.43742431906813
20240526,5.0662,27.74,84.61,0.5,7.2507895613811435,125.43742431906813
20240527,5.3426,27.71,83.0,0.53,7.2507895613811435,125.43742431906813
20240528,5.9491,28.2,80.69,0.59,7.2507895613811435,125.43742431906813
20240529,5.9227,29.03,75.44,0.59,7.2507895613811435,125.43742431906813
20240530,5.7833,28.39,79.15,0.57,7.2507895613811435,125.43742431906813
20240531,5.6611,27.6,83.77,0.56,7.2507895613811435,125.43742431906813
20240601,4.9111,27.64,84.66,0.49,7.2507895613811435,125.43742431906813
20240602,5.8349,28.71,80.32,0.58,7.2507895613811435,125.43742431906813
20240603,5.8056,27.86,86.26,0.58,7.2507895613811435,125.43742431906813
20240604,5.6546,28.96,77.93,0.56,7.2507895613811435,125.43742431906813
20240605,5.2169,28.83,79.9,0.52,7.2507895613811435,125.43742431906813
20240606,5.7389,28.11,82.37,0.57,7.2507895613811435,125.43742431906813
20240607,5.8236,28.21,77.9,0.58,7.2507895613811435,125.43742431906813
20240608,5.4797,27.93,80.67,0.55,7.2507895613811435,125.43742431906813
20240609,5.8265,28.41,80.28,0.58,7.2507895613811435,125.43742431906813
20240610,4.2007,27.32,87.71,0.42,7.2507895613811435,125.43742431906813
20240611,5.6429,27.96,82.39,0.56,7.2507895613811435,125.43742431906813
20240612,4.7892,26.82,86.25,0.48,7.2507895613811435,125.43742431906813
20240613,3.3646,26.81,84.36,0.34,7.2507895613811435,125.43742431906813
20240614,5.6179,27.42,81.94,0.56,7.2507895613811435,125.43742431906813
20240615,5.3316,27.08,84.57,0.53,7.2507895613811435,125.43742431906813
20240616,5.2968,27.87,80.38,0.53,7.2507895613811435,125.43742431906813
20240617,4.8406,27.46,82.26,0.48,7.2507895613811435,125.43742431906813
20240618,5.1559,27.21,84.47,0.52,7.2507895613811435,125.43742431906813
20240619,4.0222,27.32,81.59,0.4,7.2507895613811435,125.43742431906813
20240620,3.0996,25.95,88.04,0.31,7.2507895613811435,125.43742431906813
20240621,5.4158,26.73,84.98,0.54,7.2507895613811435,125.43742431906813
20240622,4.165,27.35,81.8,0.42,7.2507895613811435,125.43742431906813
20240623,5.7168,28.21,77.23,0.57,7.2507895613811435,125.43742431906813
20240624,4.7174,26.45,87.43,0.47,7.2507895613811435,125.43742431906813
20240625,5.9071,28.05,80.38,0.59,7.2507895613811435,125.43742431906813
20240626,2.5423,25.73,89.28,0.25,7.2507895613811435,125.43742431906813
20240627,5.9477,27.37,78.57,0.59,7.2507895613811435,125.43742431906813
20240628,5.2426,26.91,84.51,0.52,7.2507895613811435,125.43742431906813
20240629,5.3791,27.17,80.51,0.54,7.2507895613811435,125.43742431906813
20240630,4.0819,27.5,79.51,0.41,7.2507895613811435,125.43742431906813
20240701,4.877,27.42,80.38,0.49,7.2507895613811435,125.43742431906813
20240702,5.58,27.04,83.71,0.56,7.2507895613811435,125.43742431906813
20240703,5.791,28.11,77.67,0.58,7.2507895613811435,125.43742431906813
20240704,4.8854,27.73,79.1,0.49,7.2507895613811435,125.43742431906813
20240705,5.4389,26.8,85.01,0.54,7.2507895613811435,125.43742431906813
20240706,5.363,27.68,80.59,0.54,7.2507895613811435,125.43742431906813
20240707,5.6674,28.22,79.54,0.57,7.2507895613811435,125.43742431906813
20240708,1.4611,27.46,84.72,0.15,7.2507895613811435,125.43742431906813
20240709,5.2102,26.45,84.01,0.52,7.2507895613811435,125.43742431906813
20240710,5.5577,27.47,82.71,0.55,7.2507895613811435,125.43742431906813
20240711,5.3134,27.62,81.47,0.53,7.2507895613811435,125.43742431906813
20240712,4.2607,26.86,87.39,0.42,7.2507895613811435,125.43742431906813
20240713,4.4849,26.27,86.97,0.45,7.2507895613811435,125.43742431906813
20240714,4.3032,26.11,87.1,0.43,7.2507895613811435,125.43742431906813
20240715,4.0927,27.05,82.48,0.41,7.2507895613811435,125.43742431906813
20240716,3.6118,25.68,89.38,0.36,7.2507895613811435,125.43742431906813
20240717,4.0625,26.41,87.56,0.4,7.2507895613811435,125.43742431906813
20240718,3.7248,26.14,87.93,0.37,7.2507895613811435,125.43742431906813
20240719,4.5919,26.43,85.02,0.46,7.2507895613811435,125.43742431906813
20240720,5.3479,26.68,85.11,0.53,7.2507895613811435,125.43742431906813
20240721,5.7451,27.21,83.97,0.57,7.2507895613811435,125.43742431906813
20240722,5.6165,26.42,88.39,0.56,7.2507895613811435,125.43742431906813
20240723,5.3364,26.48,86.38,0.53,7.2507895613811435,125.43742431906813
20240724,6.0545,26.43,84.79,0.6,7.2507895613811435,125.43742431906813
20240725,5.3726,26.77,82.19,0.53,7.2507895613811435,125.43742431906813
20240726,5.0789,26.67,87.01,0.5,7.2507895613811435,125.43742431906813
20240727,3.6941,27.64,79.62,0.36,7.2507895613811435,125.43742431906813
20240728,5.1648,26.33,86.66,0.51,7.2507895613811435,125.43742431906813
20240729,5.2656,27.11,84.71,0.52,7.2507895613811435,125.43742431906813
20240730,5.8651,26.79,85.73,0.58,7.2507895613811435,125.43742431906813
20240731,5.7487,27.39,82.59,0.57,7.2507895613811435,125.43742431906813
20240801,4.7371,27.04,83.1,0.47,7.2507895613811435,125.43742431906813
20240802,5.526,27.02,82.64,0.54,7.2507895613811435,125.43742431906813
20240803,6.0715,27.51,79.8,0.6,7.2507895613811435,125.43742431906813
20240804,5.6707,27.09,83.57,0.56,7.2507895613811435,125.43742431906813
20240805,4.9447,26.65,85.49,0.48,7.2507895613811435,125.43742431906813
20240806,5.669,27.15,82.16,0.56,7.2507895613811435,125.43742431906813
20240807,6.2443,26.25,86.68,0.61,7.2507895613811435,125.43742431906813
20240808,5.4463,26.55,86.15,0.53,7.2507895613811435,125.43742431906813
20240809,4.5389,26.59,85.53,0.44,7.2507895613811435,125.43742431906813
20240810,6.1771,27.33,81.34,0.6,7.2507895613811435,125.43742431906813
20240811,5.1974,27.53,82.87,0.51,7.2507895613811435,125.43742431906813
20240812,5.4125,26.94,85.95,0.53,7.2507895613811435,125.43742431906813
20240813,5.2471,26.94,83.98,0.51,7.2507895613811435,125.43742431906813
20240814,6.1075,27.06,83.65,0.6,7.2507895613811435,125.43742431906813
20240815,5.6681,27.21,83.74,0.55,7.2507895613811435,125.43742431906813
20240816,5.2932,27.34,83.41,0.52,7.2507895613811435,125.43742431906813
20240817,5.3722,27.85,79.97,0.52,7.2507895613811435,125.43742431906813
20240818,6.085,27.88,79.32,0.59,7.2507895613811435,125.43742431906813
20240819,5.9702,27.05,83.79,0.58,7.2507895613811435,125.43742431906813
20240820,5.5378,27.46,81.97,0.54,7.2507895613811435,125.43742431906813
20240821,6.053,27.52,80.95,0.59,7.2507895613811435,125.43742431906813
20240822,5.3652,27.92,78.24,0.52,7.2507895613811435,125.43742431906813
20240823,6.0622,27.15,83.36,0.59,7.2507895613811435,125.43742431906813
20240824,4.6111,27.26,84.02,0.45,7.2507895613811435,125.43742431906813
20240825,5.8267,26.64,85.88,0.57,7.2507895613811435,125.43742431906813
20240826,5.7266,28.0,79.15,0.56,7.2507895613811435,125.43742431906813
20240827,5.0369,27.37,82.79,0.49,7.2507895613811435,125.43742431906813
20240828,6.0782,27.31,83.6,0.59,7.2507895613811435,125.43742431906813
20240829,3.1721,26.62,82.92,0.31,7.2507895613811435,125.43742431906813
20240830,4.8646,26.66,84.18,0.47,7.2507895613811435,125.43742431906813
20240831,3.3545,25.73,86.97,0.32,7.2507895613811435,125.43742431906813
20240901,4.494,26.35,86.3,0.44,7.2507895613811435,125.43742431906813
20240902,5.8766,26.69,83.87,0.57,7.2507895613811435,125.43742431906813
20240903,5.4262,27.0,85.78,0.53,7.2507895613811435,125.43742431906813
20240904,5.7962,27.73,81.17,0.56,7.2507895613811435,125.43742431906813
20240905,5.909,26.97,82.4,0.57,7.2507895613811435,125.43742431906813
20240906,4.8996,27.15,83.96,0.47,7.2507895613811435,125.43742431906813
20240907,5.6165,27.76,81.11,0.54,7.2507895613811435,125.43742431906813
20240908,5.8858,28.86,74.32,0.57,7.2507895613811435,125.43742431906813
20240909,5.3186,27.58,84.74,0.52,7.2507895613811435,125.43742431906813
20240910,3.966,26.53,84.51,0.38,7.2507895613811435,125.43742431906813
20240911,4.4772,26.57,87.59,0.43,7.2507895613811435,125.43742431906813
20240912,2.9683,24.92,90.81,0.29,7.2507895613811435,125.43742431906813
20240913,3.6547,26.37,83.84,0.35,7.2507895613811435,125.43742431906813
20240914,3.2422,26.75,84.91,0.31,7.2507895613811435,125.43742431906813
20240915,4.0704,26.19,84.24,0.4,7.2507895613811435,125.43742431906813
20240916,4.4232,25.97,86.3,0.43,7.2507895613811435,125.43742431906813
20240917,4.1364,26.12,88.06,0.4,7.2507895613811435,125.43742431906813
20240918,5.317,25.78,87.08,0.52,7.2507895613811435,125.43742431906813
20240919,2.4818,25.58,91.29,0.24,7.2507895613811435,125.43742431906813
20240920,5.6095,26.28,87.29,0.55,7.2507895613811435,125.43742431906813
20240921,5.5651,27.04,82.34,0.54,7.2507895613811435,125.43742431906813
20240922,4.8106,27.67,79.58,0.47,7.2507895613811435,125.43742431906813
20240923,5.7893,26.2,84.86,0.57,7.2507895613811435,125.43742431906813
20240924,4.829,27.49,79.55,0.47,7.2507895613811435,125.43742431906813
20240925,5.4103,27.85,80.15,0.53,7.2507895613811435,125.43742431906813
20240926,5.3837,27.8,79.53,0.53,7.2507895613811435,125.43742431906813
20240927,5.6342,27.47,81.92,0.55,7.2507895613811435,125.43742431906813
20240928,5.7358,26.52,90.98,0.56,7.2507895613811435,125.43742431906813
20240929,5.6472,26.82,86.9,0.55,7.2507895613811435,125.43742431906813
20240930,4.92,27.2,84.37,0.48,7.2507895613811435,125.43742431906813
20241001,5.1958,27.23,83.98,0.51,7.2507895613811435,125.43742431906813
20241002,6.0,27.24,81.99,0.59,7.2507895613811435,125.43742431906813
20241003,3.4582,27.97,80.54,0.34,7.2507895613811435,125.43742431906813
20241004,6.0226,27.49,81.81,0.6,7.2507895613811435,125.43742431906813
20241005,5.622,27.65,82.99,0.56,7.2507895613811435,125.43742431906813
20241006,5.8613,27.45,82.94,0.58,7.2507895613811435,125.43742431906813
20241007,5.8642,27.8,81.59,0.58,7.2507895613811435,125.43742431906813
20241008,5.4648,27.18,84.35,0.54,7.2507895613811435,125.43742431906813
20241009,5.6786,28.73,76.02,0.57,7.2507895613811435,125.43742431906813
20241010,5.5968,27.9,82.11,0.56,7.2507895613811435,125.43742431906813
20241011,5.5867,27.94,81.78,0.56,7.2507895613811435,125.43742431906813
20241012,4.739,27.79,81.85,0.47,7.2507895613811435,125.43742431906813
20241013,5.6282,28.7,77.03,0.56,7.2507895613811435,125.43742431906813
20241014,5.3914,27.92,83.33,0.54,7.2507895613811435,125.43742431906813
20241015,5.0789,28.19,80.0,0.51,7.2507895613811435,125.43742431906813
20241016,5.5589,27.78,84.48,0.56,7.2507895613811435,125.43742431906813
20241017,5.1912,27.21,85.51,0.52,7.2507895613811435,125.43742431906813
20241018,5.5142,28.32,77.4,0.56,7.2507895613811435,125.43742431906813
20241019,5.2241,27.68,83.01,0.53,7.2507895613811435,125.43742431906813
20241020,5.3786,27.05,86.43,0.55,7.2507895613811435,125.43742431906813
20241021,3.6533,25.9,88.42,0.37,7.2507895613811435,125.43742431906813
20241022,3.2114,25.96,85.51,0.33,7.2507895613811435,125.43742431906813
20241023,4.0082,26.8,82.18,0.41,7.2507895613811435,125.43742431906813
20241024,4.5161,26.55,85.35,0.46,7.2507895613811435,125.43742431906813
20241025,3.833,26.42,84.87,0.39,7.2507895613811435,125.43742431906813
20241026,4.074,26.67,82.78,0.42,7.2507895613811435,125.43742431906813
20241027,4.5324,26.04,83.32,0.47,7.2507895613811435,125.43742431906813
20241028,4.8929,26.55,82.31,0.51,7.2507895613811435,125.43742431906813
20241029,4.8761,26.6,84.1,0.5,7.2507895613811435,125.43742431906813
20241030,5.7502,27.98,77.08,0.6,7.2507895613811435,125.43742431906813
20241031,5.1881,28.29,75.14,0.54,7.2507895613811435,125.43742431906813
20241101,5.7139,27.12,81.23,0.6,7.2507895613811435,125.43742431906813
20241102,4.9529,27.27,83.15,0.52,7.2507895613811435,125.43742431906813
20241103,5.7293,26.85,84.76,0.6,7.2507895613811435,125.43742431906813
20241104,5.0177,27.87,80.46,0.53,7.2507895613811435,125.43742431906813
20241105,4.4503,26.72,86.05,0.47,7.2507895613811435,125.43742431906813
20241106,5.2246,27.35,82.93,0.55,7.2507895613811435,125.43742431906813
20241107,4.8934,27.49,82.59,0.52,7.2507895613811435,125.43742431906813
20241108,5.8224,28.22,77.16,0.62,7.2507895613811435,125.43742431906813
20241109,5.6549,26.95,82.09,0.6,7.2507895613811435,125.43742431906813
20241110,5.1924,27.61,81.57,0.55,7.2507895613811435,125.43742431906813
20241111,5.1941,28.11,81.4,0.55,7.2507895613811435,125.43742431906813
20241112,5.5906,28.37,79.08,0.6,7.2507895613811435,125.43742431906813
20241113,5.7797,28.35,79.05,0.62,7.2507895613811435,125.43742431906813
20241114,5.6081,28.41,79.0,0.6,7.2507895613811435,125.43742431906813
20241115,5.5435,27.78,83.74,0.6,7.2507895613811435,125.43742431906813
20241116,4.7897,27.09,86.7,0.52,7.2507895613811435,125.43742431906813
20241117,5.3417,27.48,82.84,0.58,7.2507895613811435,125.43742431906813
20241118,3.7274,26.22,90.72,0.4,7.2507895613811435,125.43742431906813
20241119,2.9446,25.84,93.57,0.32,7.2507895613811435,125.43742431906813
20241120,4.7251,26.34,88.74,0.51,7.2507895613811435,125.43742431906813
20241121,5.5858,26.74,85.01,0.61,7.2507895613811435,125.43742431906813
20241122,4.7513,27.1,84.38,0.52,7.2507895613811435,125.43742431906813
20241123,3.6787,26.37,88.74,0.4,7.2507895613811435,125.43742431906813
20241124,3.835,26.57,90.17,0.42,7.2507895613811435,125.43742431906813
20241125,3.7975,25.9,94.45,0.42,7.2507895613811435,125.43742431906813
20241126,5.2224,26.38,87.06,0.57,7.2507895613811435,125.43742431906813
20241127,3.9036,26.14,93.39,0.43,7.2507895613811435,125.43742431906813
20241128,3.7838,26.3,92.64,0.42,7.2507895613811435,125.43742431906813
20241129,3.6259,25.51,90.83,0.4,7.2507895613811435,125.43742431906813
20241130,4.7938,26.21,88.62,0.53,7.2507895613811435,125.43742431906813
20241201,3.7498,27.05,85.29,0.41,7.2507895613811435,125.43742431906813
20241202,4.8043,27.43,85.36,0.53,7.2507895613811435,125.43742431906813
20241203,4.6721,27.8,82.42,0.52,7.2507895613811435,125.43742431906813
20241204,5.6846,26.46,85.66,0.63,7.2507895613811435,125.43742431906813
20241205,5.4245,26.73,83.62,0.6,7.2507895613811435,125.43742431906813
20241206,5.0002,27.04,83.89,0.56,7.2507895613811435,125.43742431906813
20241207,3.4044,24.83,91.77,0.38,7.2507895613811435,125.43742431906813
20241208,2.9882,26.86,84.05,0.33,7.2507895613811435,125.43742431906813
20241209,4.6879,26.47,88.96,0.52,7.2507895613811435,125.43742431906813
20241210,3.7831,26.35,87.55,0.42,7.2507895613811435,125.43742431906813
20241211,4.3104,26.29,87.49,0.48,7.2507895613811435,125.43742431906813
20241212,2.5404,25.52,89.74,0.28,7.2507895613811435,125.43742431906813
20241213,4.4054,25.59,90.24,0.49,7.2507895613811435,125.43742431906813
20241214,4.4554,25.46,88.3,0.5,7.2507895613811435,125.43742431906813
20241215,3.409,25.36,88.94,0.38,7.2507895613811435,125.43742431906813
20241216,2.4595,25.11,90.88,0.28,7.2507895613811435,125.43742431906813
20241217,2.3054,23.37,93.12,0.26,7.2507895613811435,125.43742431906813
20241218,4.4453,24.93,92.19,0.5,7.2507895613811435,125.43742431906813
20241219,4.2312,24.65,95.39,0.47,7.2507895613811435,125.43742431906813
20241220,4.1263,25.47,94.8,0.46,7.2507895613811435,125.43742431906813
20241221,4.9433,27.55,83.68,0.55,7.2507895613811435,125.43742431906813
20241222,4.8173,27.85,85.04,0.54,7.2507895613811435,125.43742431906813
20241223,4.747,26.26,88.61,0.53,7.2507895613811435,125.43742431906813
20241224,3.162,26.49,86.09,0.35,7.2507895613811435,125.43742431906813
20241225,3.0487,25.66,88.59,0.34,7.2507895613811435,125.43742431906813
20241226,3.5702,24.8,96.69,0.4,7.2507895613811435,125.43742431906813
20241227,1.907,25.19,94.68,0.21,7.2507895613811435,125.43742431906813
20241228,4.5343,26.61,85.51,0.51,7.2507895613811435,125.43742431906813
20241229,4.483,27.08,84.57,0.5,7.2507895613811435,125.43742431906813
20241230,4.1743,26.47,85.42,0.47,7.2507895613811435,125.43742431906813
20241231,3.3557,26.34,87.3,0.37,7.2507895613811435,125.43742431906813
