lat,lon,rooftop_area_sq_m,ada_predicted_irradiance_kWh_m2_day,ada_SEP_kWh_day,ada_SEP_kWh_yr,fi_predicted_irradiance_kWh_m2_day,fi_SEP_kWh_day,fi_SEP_kWh_yr,difference_SEP_kWh_yr
7.126699930513393,125.57575418989806,544.9435887028876,4.832334405697752,2633.3496528533688,961172.6232914795,4.832911938355675,2633.6643755725704,961287.4970839882,-114.87379250861704
7.496087443343387,125.2764670990036,129.73503302808535,4.83414596144115,627.158085970153,228912.70137910586,4.835273888666138,627.3044176459401,228966.11244076813,-53.41106166227837
7.072659578466829,125.29110762613549,109.35345841406912,4.834726844170968,528.6941008974336,192973.34682756328,4.836363712149201,528.8730980718207,193038.68079621455,-65.33396865127725
7.524311471103976,125.50505752533208,16.385285428835015,4.834096756473495,79.20805514542377,28910.940128079677,4.835273888666138,79.22734279238769,28917.980119221505,-7.039991141828068
7.157791085834237,125.31180263711992,38.61756338142857,4.833588921636066,186.66142654105172,68131.42068748389,4.834860804512601,186.7105435586501,68149.34839890728,-17.92771142339916
7.049683258466502,125.45774877468148,97.71011264804572,4.825513456852506,471.5014634537189,172098.0341606074,4.826536589641328,471.60143387376854,172134.52336392552,-36.4892033181095
7.396406135137736,125.28081435202374,60.863461394342,4.830494791584348,294.0006332631641,107310.2311410549,4.831249906802078,294.0465921890667,107327.00614900935,-16.775007954449393
7.285113674200836,125.27602326161784,12.603752069103884,4.821826692730974,60.77310815536835,22182.184476709448,4.822996372870864,60.78785051385167,22187.56543755586,-5.380960846410744
7.478556367452937,125.31340498199772,40.82090922287595,4.833588921636066,197.3114945908047,72018.69552564372,4.834860804512601,197.36341400624988,72037.6461122812,-18.950586637482047
7.214470252731038,125.66245332561284,3086.674337150231,4.842031836676327,14945.775409933218,5455208.0246256245,4.842895195358037,14948.440317019807,5456180.71571223,-972.6910866051912
7.273586225090844,125.361927814855,156.3450366379514,4.829842579370486,755.1219150272163,275619.49898493395,4.828371940955999,754.8919880104222,275535.5756238041,83.92336112982593
7.576967564492576,125.53550336731551,12.78623504042829,4.848682947072981,61.99639979779165,22628.685926193953,4.849087862852051,62.00157714611442,22630.575658331763,-1.889732137809915
7.0249989908872505,125.52164808510253,157.65599567508514,4.850472884927,764.7061321681689,279117.73824138165,4.8511709827574965,764.8161914767144,279157.90988900076,-40.17164761910681
7.228459781733058,125.28489930756687,147.36915610097228,4.834557043142277,712.4645915698891,260049.5759230095,4.835724086016031,712.6365776933279,260112.3508580647,-62.774935055174865
7.465979715848068,125.44174943782176,40.587195528924525,4.832916001377311,196.15450672276899,71596.39495381068,4.833409928622783,196.17455384445802,71603.71215322717,-7.3171994164877106
7.300989292970573,125.32916715818487,74.57547401262664,4.834726844170968,360.5520461256204,131601.49683585143,4.836363712149201,360.6741163309933,131646.05246081256,-44.55562496112543
7.519879300871323,125.50823874204568,16.385285428835015,4.834096756473495,79.20805514542377,28910.940128079677,4.835273888666138,79.22734279238769,28917.980119221505,-7.039991141828068
7.224209714026545,125.50684374011684,74.86169947148692,4.83451360926239,361.91990490741455,132100.7652912063,4.835357213433445,361.98305854934097,132123.81637050945,-23.051079303142615
7.2328560169594756,125.3970516652598,58.23637211843828,4.833840763075997,281.5053494397695,102749.45254551586,4.835273888666138,281.58880947492935,102779.9154583492,-30.462912833347218
7.519717994783392,125.53025978450262,16.237048305852337,4.824054968874506,78.32841355970235,28589.87094929136,4.822041814940508,78.2957258820289,28577.93994694055,11.93100235080783
7.117202389012064,125.43528213399632,161.70004948824075,4.836090764074391,781.996115880453,285428.58229636535,4.833503374892959,781.5777349217701,285275.8732464461,152.7090499192709
7.440808864021943,125.33109593728332,30.526032237199,4.834594011778744,147.58097265732718,53867.055019924424,4.836363712149201,147.63499458788596,53886.773024578375,-19.71800465395063
7.024596687807385,125.60922043870312,22.98765503856812,4.8230112512847265,110.86971889166608,40467.44739545812,4.824613567711373,110.90655238894448,40480.891621964736,-13.44422650661727
7.491898610892649,125.2876971387306,129.73503302808535,4.83414596144115,627.158085970153,228912.70137910586,4.835273888666138,627.3044176459401,228966.11244076813,-53.41106166227837
