sample_index,starting_weight,normalized_prediction_error,ada_normalized_prediction_error,fi_normalized_prediction_error,adaboost_updated_weight,fi_adaboost_updated_weight,Phi_i,fi_modulated_loss,adaboost_weight_change,fi_adaboost_weight_change
26,0.000416666666667,0.0204123108902,0.0552936294826,0.0204123108902,0.00041189650973,0.000393957341299,0.930659242485,0.0189969057905,-4.77015693676e-06,-2.27093253673e-05
27,0.000416666666667,0.0242930182012,0.0271487848188,0.0242930182012,0.000392931048124,0.000400020384174,0.932163558766,0.0226450662996,-2.37356185423e-05,-1.66462824929e-05
28,0.000416666666667,0.0106042153675,0.000591212092909,0.0106042153675,0.000375836641238,0.000379309229122,0.937937721264,0.0099460935976,-4.08300254289e-05,-3.73574375446e-05
29,0.000416666666667,0.0269420299691,0.0379340936161,0.0269420299691,0.000400093297273,0.000404052711477,0.929434308661,0.0250408469983,-1.6573369394e-05,-1.26139551898e-05
30,0.000416666666667,0.0480474623982,0.470601560592,0.0480474623982,0.000825793334218,0.000439882254977,0.943551707555,0.0453352651895,0.000409126667551,2.32155883106e-05
31,0.000416666666667,0.0465452268333,0.0646369523138,0.0465452268333,0.000418392779586,0.000435397885219,0.921419084118,0.0428876602788,1.72611291951e-06,1.87312185523e-05
32,0.000416666666667,0.0019552543147,0.0322371104517,0.0019552543147,0.000396293958046,0.000366581435981,0.917200208944,0.00179335966598,-2.0372708621e-05,-5.00852306855e-05
33,0.000416666666667,0.0118818474463,0.0360101448922,0.0118818474463,0.000398806152585,0.000381023422429,0.927730646587,0.011023154014,-1.78605140817e-05,-3.56432442376e-05
34,0.000416666666667,0.000131290435015,0.0497279960004,0.000131290435015,0.000408074847768,0.000364024293317,0.923757382687,0.000121280508621,-8.59181889862e-06,-5.26423733493e-05
35,0.000416666666667,0.0112203207779,0.0398663401156,0.0112203207779,0.000401390174457,0.000380024525734,0.926543806812,0.0103961187272,-1.52764922095e-05,-3.66421409329e-05
36,0.000416666666667,0.0197762904673,0.0150224323868,0.0197762904673,0.000385031250996,0.000393058721148,0.933007607099,0.0184514294462,-3.16354156703e-05,-2.36079455184e-05
37,0.000416666666667,0.023358940422,0.0246654993184,0.023358940422,0.000391300204571,0.00039866316735,0.934684921757,0.0218332494006,-2.53664620961e-05,-1.80034993168e-05
38,0.000416666666667,0.0340685885797,0.0531375544046,0.0340685885797,0.000410411804569,0.00041582026684,0.936291782921,0.0318981395429,-6.25486209762e-06,-8.4639982698e-07
39,0.000416666666667,0.00108940426066,0.0647023140813,0.00108940426066,0.000418438583635,0.000365386851083,0.930503216752,0.00101369416889,1.77191696794e-06,-5.12798155834e-05
40,0.000416666666667,0.0111041741746,0.0368537626313,0.0111041741746,0.00039937003237,0.000380075792278,0.939136950141,0.0104283402681,-1.72966342964e-05,-3.65908743886e-05
41,0.000416666666667,0.00685809833183,0.00936799936098,0.00685809833183,0.000381402122421,0.000373557839333,0.918109669696,0.00629648639418,-3.52645442458e-05,-4.31088273333e-05
42,0.000416666666667,0.0228139481736,0.0112728966536,0.0228139481736,0.00038262088683,0.000397190614039,0.91826772101,0.0209493121966,-3.40457798369e-05,-1.94760526272e-05
43,0.000416666666667,0.015857554913,0.02138272367,0.015857554913,0.000389154697003,0.000386883820605,0.92505420126,0.014669097794,-2.75119696637e-05,-2.97828460612e-05
44,0.000416666666667,0.010186442657,0.000519454424984,0.010186442657,0.000375791475047,0.000378563050975,0.930229966078,0.00947573420728,-4.08751916194e-05,-3.81036156912e-05
45,0.000416666666667,0.0133435039389,0.0321242689454,0.0133435039389,0.000396219069152,0.000383157221383,0.926076904674,0.0123571108253,-2.04475975142e-05,-3.35094452835e-05
46,0.000416666666667,0.0179484717096,0.031219897663,0.0179484717096,0.000395619381101,0.000390184200376,0.930337598391,0.0166981380651,-2.10472855655e-05,-2.64824662903e-05
47,0.000416666666667,0.0225983081403,0.00961747683043,0.0225983081403,0.000381561518376,0.000396836497284,0.917602140079,0.0207362559117,-3.51051482912e-05,-1.98301693831e-05
48,0.000416666666667,0.015170984727,0.152360689726,0.015170984727,0.000484609529986,0.000386083977521,0.934333330688,0.0141747566898,6.79428633195e-05,-3.05826891461e-05
49,0.000416666666667,0.000751105318633,0.0181767690622,0.000751105318633,0.000387070751624,0.000364915221222,0.938849842639,0.000705175110204,-2.95959150423e-05,-5.17514454448e-05
50,0.000416666666667,0.0166340268891,0.00678703069496,0.0166340268891,0.000379756994631,0.000388263038768,0.932974599591,0.0155191245765,-3.69096720353e-05,-2.84036278986e-05
51,0.000416666666667,0.0126888311738,0.0359622427753,0.0126888311738,0.000398774158385,0.000382334369222,0.933386373304,0.0118435821108,-1.78925082821e-05,-3.43322974446e-05
52,0.000416666666667,0.000131290435015,0.0497279960004,0.000131290435015,0.000408074847768,0.000364024868421,0.926631703618,0.000121657879467,-8.59181889862e-06,-5.2641798246e-05
53,0.000416666666667,0.0156362219152,0.0909485157328,0.0156362219152,0.000437242601194,0.000386634924367,0.928317451929,0.0145153776861,2.05759345277e-05,-3.00317422994e-05
54,0.000416666666667,0.0210277415583,0.0230335278155,0.0210277415583,0.000390232130478,0.000395065943916,0.935342149122,0.0196681329803,-2.64345361886e-05,-2.16007227507e-05
55,0.000416666666667,0.00289532109368,0.0558433735354,0.00289532109368,0.000412275930172,0.000367943392319,0.925344433069,0.00267916925598,-4.3907364945e-06,-4.87232743477e-05
56,0.000416666666667,0.00507314398169,0.0628661238209,0.00507314398169,0.000417153729276,0.000371056054334,0.924748170342,0.00469138061495,4.87062608944e-07,-4.56106123331e-05
57,0.000416666666667,0.0529252980056,0.0771634477552,0.0529252980056,0.000427263309501,0.000446755648365,0.926566403018,0.0490388030017,1.05966428342e-05,3.00889816985e-05
58,0.000416666666667,0.0245791584387,0.0835978384794,0.0245791584387,0.000431892631108,0.000400645917061,0.936496704133,0.0230183008682,1.52259644414e-05,-1.60207496061e-05
59,0.000416666666667,0.00410450530958,0.0265232352786,0.00410450530958,0.00039251959279,0.000369680206531,0.926796166765,0.00380403978738,-2.41470738765e-05,-4.69864601355e-05
60,0.000416666666667,0.0106742409991,0.0836500579894,0.0106742409991,0.000431930405693,0.000379424751711,0.938598956556,0.0100188314638,1.52637390265e-05,-3.72419149558e-05
61,0.000416666666667,0.00116314152261,0.0560132514899,0.00116314152261,0.000412393246622,0.000365495948588,0.932822118544,0.00108500413929,-4.2734200448e-06,-5.11707180783e-05
62,0.000416666666667,0,0.108191423817,0,0.000450053842192,0.000363839512047,0.982659576676,0,3.33871755253e-05,-5.28271546197e-05
63,0.000416666666667,0.00874097763275,0.00306464627748,0.00874097763275,0.000377396809595,0.000376443555559,0.930630356038,0.00813461912649,-3.9269857072e-05,-4.02231111079e-05
64,0.000416666666667,0.0225983081403,0.00961747683043,0.0225983081403,0.000381561518376,0.000396835915333,0.917586639347,0.0207359056214,-3.51051482912e-05,-1.98307513339e-05
65,0.000416666666667,0.0288791307828,0.135881910049,0.0288791307828,0.000471417555384,0.000407363085422,0.934580758429,0.0269898799497,5.47508887168e-05,-9.30358124496e-06
66,0.000416666666667,0.00766536859712,0.0119925433644,0.00766536859712,0.000383082333902,0.000374852174493,0.929204762057,0.00712269700337,-3.35843327644e-05,-4.18144921733e-05
67,0.000416666666667,0.0233672243416,0.0474378664058,0.0233672243416,0.000406512637854,0.000398825026013,0.938502989685,0.0219302099053,-1.01540288122e-05,-1.7841640654e-05
68,0.000416666666667,0.0134913138062,0.033828808569,0.0134913138062,0.000397351820699,0.000383332047531,0.924007485014,0.0124660749396,-1.93148459676e-05,-3.33346191352e-05
69,0.000416666666667,0.0106742409991,0.0836500579894,0.0106742409991,0.000431930405693,0.000379424603912,0.938590239668,0.0100187384176,1.52637390265e-05,-3.72420627546e-05
70,0.000416666666667,0.00588163487268,0.0530718136428,0.00588163487268,0.000410366618684,0.000372247740155,0.927853037834,0.00545729278404,-6.30004798258e-06,-4.44189265118e-05
71,0.000416666666667,0.078390330091,0.14929851363,0.078390330091,0.000482130504208,0.000493803164058,0.93066634836,0.0729552422525,6.54638375409e-05,7.71364973914e-05
72,0.000416666666667,0.00926788288207,0.0450569792946,0.00926788288207,0.000404894858186,0.000377180701278,0.928141214661,0.0086019040755,-1.17718084808e-05,-3.94859653892e-05
73,0.000416666666667,0.016594727746,0.00526116534347,0.016594727746,0.000378787736841,0.00038776263243,0.916620544336,0.0152110683797,-3.78789298258e-05,-2.89040342368e-05
74,0.000416666666667,0.0125361405627,0.0521985967342,0.0125361405627,0.000409766898385,0.000381932352423,0.924709471083,0.0115922879092,-6.89976828206e-06,-3.47343142441e-05
75,0.000416666666667,0.0299193555449,0.0421066419235,0.0299193555449,0.000402899074296,0.000409001795517,0.934139182815,0.0279488423391,-1.37675923702e-05,-7.66487114929e-06
76,0.000416666666667,0.012999308306,0.0839381687602,0.012999308306,0.000432138878869,0.000382432702613,0.91581861307,0.0119050085037,1.54722122023e-05,-3.42339640535e-05
