date,ALLSKY_SFC_SW_DWN,T2M,RH2M,ALLSKY_KT,lat,lon
2024-06-08,5.4797,27.93,80.67,0.55,7.250792737060687,125.43741689857494
2024-06-09,5.8265,28.41,80.28,0.58,7.250792737060687,125.43741689857494
2024-06-10,4.2007,27.32,87.71,0.42,7.250792737060687,125.43741689857494
2024-06-11,5.6429,27.96,82.39,0.56,7.250792737060687,125.43741689857494
2024-06-12,4.7892,26.82,86.25,0.48,7.250792737060687,125.43741689857494
2024-06-13,3.3646,26.81,84.36,0.34,7.250792737060687,125.43741689857494
2024-06-14,5.6179,27.42,81.94,0.56,7.250792737060687,125.43741689857494
2024-06-15,5.3316,27.08,84.57,0.53,7.250792737060687,125.43741689857494
2024-06-16,5.2968,27.87,80.38,0.53,7.250792737060687,125.43741689857494
2024-06-17,4.8406,27.46,82.26,0.48,7.250792737060687,125.43741689857494
2024-06-18,5.1559,27.21,84.47,0.52,7.250792737060687,125.43741689857494
2024-06-19,4.0222,27.32,81.59,0.4,7.250792737060687,125.43741689857494
2024-06-20,3.0996,25.95,88.04,0.31,7.250792737060687,125.43741689857494
2024-06-21,5.4158,26.73,84.98,0.54,7.250792737060687,125.43741689857494
2024-06-22,4.165,27.35,81.8,0.42,7.250792737060687,125.43741689857494
2024-06-23,5.7168,28.21,77.23,0.57,7.250792737060687,125.43741689857494
2024-06-24,4.7174,26.45,87.43,0.47,7.250792737060687,125.43741689857494
2024-06-25,5.9071,28.05,80.38,0.59,7.250792737060687,125.43741689857494
2024-06-26,2.5423,25.73,89.28,0.25,7.250792737060687,125.43741689857494
2024-06-27,5.9477,27.37,78.57,0.59,7.250792737060687,125.43741689857494
2024-06-28,5.2426,26.91,84.51,0.52,7.250792737060687,125.43741689857494
2024-06-29,5.3791,27.17,80.51,0.54,7.250792737060687,125.43741689857494
2024-06-30,4.0819,27.5,79.51,0.41,7.250792737060687,125.43741689857494
2024-07-01,4.877,27.42,80.38,0.49,7.250792737060687,125.43741689857494
2024-07-02,5.58,27.04,83.71,0.56,7.250792737060687,125.43741689857494
2024-07-03,5.791,28.11,77.67,0.58,7.250792737060687,125.43741689857494
2024-07-04,4.8854,27.73,79.1,0.49,7.250792737060687,125.43741689857494
2024-07-05,5.4389,26.8,85.01,0.54,7.250792737060687,125.43741689857494
2024-07-06,5.363,27.68,80.59,0.54,7.250792737060687,125.43741689857494
2024-07-07,5.6674,28.22,79.54,0.57,7.250792737060687,125.43741689857494
2024-07-08,1.4611,27.46,84.72,0.15,7.250792737060687,125.43741689857494
2024-07-09,5.2102,26.45,84.01,0.52,7.250792737060687,125.43741689857494
2024-07-10,5.5577,27.47,82.71,0.55,7.250792737060687,125.43741689857494
2024-07-11,5.3134,27.62,81.47,0.53,7.250792737060687,125.43741689857494
2024-07-12,4.2607,26.86,87.39,0.42,7.250792737060687,125.43741689857494
2024-07-13,4.4849,26.27,86.97,0.45,7.250792737060687,125.43741689857494
2024-07-14,4.3032,26.11,87.1,0.43,7.250792737060687,125.43741689857494
2024-07-15,4.0927,27.05,82.48,0.41,7.250792737060687,125.43741689857494
2024-07-16,3.6118,25.68,89.38,0.36,7.250792737060687,125.43741689857494
2024-07-17,4.0625,26.41,87.56,0.4,7.250792737060687,125.43741689857494
2024-07-18,3.7248,26.14,87.93,0.37,7.250792737060687,125.43741689857494
2024-07-19,4.5919,26.43,85.02,0.46,7.250792737060687,125.43741689857494
2024-07-20,5.3479,26.68,85.11,0.53,7.250792737060687,125.43741689857494
2024-07-21,5.7451,27.21,83.97,0.57,7.250792737060687,125.43741689857494
2024-07-22,5.6165,26.42,88.39,0.56,7.250792737060687,125.43741689857494
2024-07-23,5.3364,26.48,86.38,0.53,7.250792737060687,125.43741689857494
2024-07-24,6.0545,26.43,84.79,0.6,7.250792737060687,125.43741689857494
2024-07-25,5.3726,26.77,82.19,0.53,7.250792737060687,125.43741689857494
2024-07-26,5.0789,26.67,87.01,0.5,7.250792737060687,125.43741689857494
2024-07-27,3.6941,27.64,79.62,0.36,7.250792737060687,125.43741689857494
2024-07-28,5.1648,26.33,86.66,0.51,7.250792737060687,125.43741689857494
2024-07-29,5.2656,27.11,84.71,0.52,7.250792737060687,125.43741689857494
2024-07-30,5.8651,26.79,85.73,0.58,7.250792737060687,125.43741689857494
2024-07-31,5.7487,27.39,82.59,0.57,7.250792737060687,125.43741689857494
2024-08-01,4.7371,27.04,83.1,0.47,7.250792737060687,125.43741689857494
2024-08-02,5.526,27.02,82.64,0.54,7.250792737060687,125.43741689857494
2024-08-03,6.0715,27.51,79.8,0.6,7.250792737060687,125.43741689857494
2024-08-04,5.6707,27.09,83.57,0.56,7.250792737060687,125.43741689857494
2024-08-05,4.9447,26.65,85.49,0.48,7.250792737060687,125.43741689857494
2024-08-06,5.669,27.15,82.16,0.56,7.250792737060687,125.43741689857494
2024-08-07,6.2443,26.25,86.68,0.61,7.250792737060687,125.43741689857494
2024-08-08,5.4463,26.55,86.15,0.53,7.250792737060687,125.43741689857494
2024-08-09,4.5389,26.59,85.53,0.44,7.250792737060687,125.43741689857494
2024-08-10,6.1771,27.33,81.34,0.6,7.250792737060687,125.43741689857494
2024-08-11,5.1974,27.53,82.87,0.51,7.250792737060687,125.43741689857494
2024-08-12,5.4125,26.94,85.95,0.53,7.250792737060687,125.43741689857494
2024-08-13,5.2471,26.94,83.98,0.51,7.250792737060687,125.43741689857494
2024-08-14,6.1075,27.06,83.65,0.6,7.250792737060687,125.43741689857494
2024-08-15,5.6681,27.21,83.74,0.55,7.250792737060687,125.43741689857494
2024-08-16,5.2932,27.34,83.41,0.52,7.250792737060687,125.43741689857494
2024-08-17,5.3722,27.85,79.97,0.52,7.250792737060687,125.43741689857494
2024-08-18,6.085,27.88,79.32,0.59,7.250792737060687,125.43741689857494
2024-08-19,5.9702,27.05,83.79,0.58,7.250792737060687,125.43741689857494
2024-08-20,5.5378,27.46,81.97,0.54,7.250792737060687,125.43741689857494
2024-08-21,6.053,27.52,80.95,0.59,7.250792737060687,125.43741689857494
2024-08-22,5.3652,27.92,78.24,0.52,7.250792737060687,125.43741689857494
2024-08-23,6.0622,27.15,83.36,0.59,7.250792737060687,125.43741689857494
2024-08-24,4.6111,27.26,84.02,0.45,7.250792737060687,125.43741689857494
2024-08-25,5.8267,26.64,85.88,0.57,7.250792737060687,125.43741689857494
2024-08-26,5.7266,28.0,79.15,0.56,7.250792737060687,125.43741689857494
2024-08-27,5.0369,27.37,82.79,0.49,7.250792737060687,125.43741689857494
2024-08-28,6.0782,27.31,83.6,0.59,7.250792737060687,125.43741689857494
2024-08-29,3.1721,26.62,82.92,0.31,7.250792737060687,125.43741689857494
2024-08-30,4.8646,26.66,84.18,0.47,7.250792737060687,125.43741689857494
2024-08-31,3.3545,25.73,86.97,0.32,7.250792737060687,125.43741689857494
2024-09-01,4.494,26.35,86.3,0.44,7.250792737060687,125.43741689857494
2024-09-02,5.8766,26.69,83.87,0.57,7.250792737060687,125.43741689857494
2024-09-03,5.4262,27.0,85.78,0.53,7.250792737060687,125.43741689857494
2024-09-04,5.7962,27.73,81.17,0.56,7.250792737060687,125.43741689857494
2024-09-05,5.909,26.97,82.4,0.57,7.250792737060687,125.43741689857494
2024-09-06,4.8996,27.15,83.96,0.47,7.250792737060687,125.43741689857494
2024-09-07,5.6165,27.76,81.11,0.54,7.250792737060687,125.43741689857494
2024-09-08,5.8858,28.86,74.32,0.57,7.250792737060687,125.43741689857494
2024-09-09,5.3186,27.58,84.74,0.52,7.250792737060687,125.43741689857494
2024-09-10,3.966,26.53,84.51,0.38,7.250792737060687,125.43741689857494
2024-09-11,4.4772,26.57,87.59,0.43,7.250792737060687,125.43741689857494
2024-09-12,2.9683,24.92,90.81,0.29,7.250792737060687,125.43741689857494
